username,total_posts,total_views,political_posts,electoral_posts,military_posts,economy_posts,religion_posts,international_posts,political_views,electoral_views,military_views,economy_views,religion_views,international_views
Amaztalks,29,64300,0,0,0,0,0,0,0,0,0,0,0,0
America_News_USA,23,211,0,0,0,0,0,0,0,0,0,0,0,0
Americana_ir,20,22161,0,0,0,0,0,0,0,0,0,0,0,0
AmharaMassMedia,250,826843,0,0,0,0,0,0,0,0,0,0,0,0
Amichai_Chikli,34,81446,0,0,0,0,0,0,0,0,0,0,0,0
Amikiri_AL,15,11956,0,0,0,0,0,0,0,0,0,0,0,0
Amini_Yek_kalameh,20,22529,0,0,0,0,0,0,0,0,0,0,0,0
AmirHossein_injast,210,2966419,0,0,0,0,0,0,0,0,0,0,0,0
AmirTaheri4,23,86970,0,0,0,0,0,0,0,0,0,0,0,0
AmurInfo_news,57,422716,0,0,0,0,0,0,0,0,0,0,0,0
Amur_Inside,17,23233,1,0,0,0,0,0,1070,0,0,0,0,0
Amur_telega,18,15984,0,0,0,0,0,0,0,0,0,0,0,0
AnarProstoSuperOriginal,4,32960,0,0,0,0,0,0,0,0,0,0,0,0
Anatoly_Fursov,8,90660,1,0,0,0,0,0,12000,0,0,0,0,0
AndijanBugun_Andijonliklar,2539,21533839,0,0,0,0,0,0,0,0,0,0,0,0
Andijon,62,614350,0,0,0,0,0,0,0,0,0,0,0,0
AndijonRadarReyd,24,29880,1,0,0,0,0,0,2260,0,0,0,0,0
Andijonliklar_Bugun_Axli,2,4010,0,0,0,0,0,0,0,0,0,0,0,0
Andijonliklar_TV,2382,29835150,0,0,0,0,0,0,0,0,0,0,0,0
Andrafanaslive,23,324577,0,0,0,0,0,0,0,0,0,0,0,0
Andreev_actor,16,157844,0,0,0,0,0,0,0,0,0,0,0,0
Andrejanonestelegram,64,547429,0,0,0,0,0,0,0,0,0,0,0,0
AndreyArmand,24,10827,2,0,0,0,0,0,1071,0,0,0,0,0
AndreyDevyatov,50,2134580,1,0,0,1,5,0,40200,0,0,60800,304400,0
AndreyMalginItalia,25,167580,1,0,0,0,0,0,7030,0,0,0,0,0
AndreySpasatel,9,82640,0,0,0,0,0,0,0,0,0,0,0,0
AngarskNews,32,99855,0,0,0,0,0,0,0,0,0,0,0,0
Angarsk_true,45,238990,5,0,0,0,0,0,21900,0,0,0,0,0
AnginNusantaraOfficial,24,6737,0,0,0,0,0,0,0,0,0,0,0,0
AniLibriaLupin,33,71018,0,0,0,0,0,0,0,0,0,0,0,0
AnimalsQuotes,19,399900,0,0,0,0,0,0,0,0,0,0,0,0
AnimeNewsIran,13,4990,0,0,0,0,0,0,0,0,0,0,0,0
AnjomanEslami_SU,14,1376,0,0,0,0,0,0,0,0,0,0,0,0
AnnVandersteelTruth,30,74210,0,0,0,0,0,0,0,0,0,0,0,0
Ann_Margera,14,62930,0,0,0,0,0,0,0,0,0,0,0,0
AnnaKnishenkoRT,18,646417,0,0,0,0,0,0,0,0,0,0,0,0
AnnaRose0102,9,3602,1,0,0,0,0,0,289,0,0,0,0,0
Anna_Jurjevna,8,3697,0,0,0,0,0,0,0,0,0,0,0,0
Anna_akinina,153,35514,1,0,0,0,0,0,143,0,0,0,0,0
AnsChM,32,43574,0,0,0,0,0,0,0,0,0,0,0,0
AnsaNewsIT,33,49307,0,0,0,0,0,0,0,0,0,0,0,0
Anticor_Kharkov,1,677,0,0,0,0,0,0,0,0,0,0,0,0
AntifaPublicWatch,25,41460,0,0,0,0,0,0,0,0,0,0,0,0
Antiglobalist1,28,9455,2,0,0,0,0,0,542,0,0,0,0,0
Antikor_UA,72,138673,2,0,0,0,0,0,4280,0,0,0,0,0
AntonPrednaznachenie,1,7600,0,0,0,0,0,0,0,0,0,0,0,0
AntonShagin,26,123700,0,0,0,0,0,0,0,0,0,0,0,0
Anuar_nurpeisov,1,1930,0,0,0,0,0,0,0,0,0,0,0,0
AnyaKurbat,11,36320,0,0,0,0,0,0,0,0,0,0,0,0
AoMurmansk,13,18810,0,0,0,0,0,0,0,0,0,0,0,0
AosFatos,32,18366,0,0,0,0,0,0,0,0,0,0,0,0
Apaladon,3,7320,0,0,0,0,0,0,0,0,0,0,0,0
AppDoDo,49,297670,0,0,0,0,0,0,0,0,0,0,0,0
AppleStas,21,47962,1,0,0,0,0,0,2990,0,0,0,0,0
ApsaraMediaServices,128,53318,0,0,0,0,0,0,0,0,0,0,0,0
AptiAlaudinovAKHMAT,73,2730170,3,0,0,0,0,0,111700,0,0,0,0,0
Aq701,93,994701,0,0,0,0,0,0,0,0,0,0,0,0
Aqmangituz,6,5136,0,0,0,0,0,0,0,0,0,0,0,0
Arakihai,20,59740,0,0,0,0,0,0,0,0,0,0,0,0
AramanNews,22,5749,0,0,0,0,0,0,0,0,0,0,0,0
Arbuzov_S,4,4930,0,0,0,0,0,0,0,0,0,0,0,0
ArcelorMittal_Ua,22,71110,0,0,0,0,0,0,0,0,0,0,0,0
Archet,24,139619,0,0,0,0,0,0,0,0,0,0,0,0
Arctik_Obline,1,19,0,0,0,0,0,0,0,0,0,0,0,0
AreaOutlawys,7,631,0,0,0,0,0,0,0,0,0,0,0,0
Areefshaltakh,65,39560,0,0,0,0,0,0,0,0,0,0,0,0
Arhangelsk_crazy,49,682600,0,0,0,0,0,0,0,0,0,0,0,0
Arhangelsk_podslushal,51,960900,0,0,0,0,0,0,0,0,0,0,0,0
Arhipovadarya,26,280050,1,0,0,0,0,0,11200,0,0,0,0,0
Arhyz24,17,9101,0,0,0,0,0,0,0,0,0,0,0,0
Ariana_TV,21,5056,0,0,0,0,0,0,0,0,0,0,0,0
Arijinal,27,53160,1,0,0,0,0,0,5000,0,0,0,0,0
ArizonaAuditLiveFeeds,40,11802,0,0,0,0,0,0,0,0,0,0,0,0
ArkHelps,284,2301669,12,0,0,0,0,0,99820,0,0,0,0,0
Arkhangelsk_peace,41,324480,0,0,0,0,0,0,0,0,0,0,0,0
ArmavirCHP,19,54130,0,0,0,0,0,0,0,0,0,0,0,0
Armavir_true,45,246430,0,0,0,0,0,0,0,0,0,0,0,0
ArmenSarkissian,1,2230,0,0,0,0,0,0,0,0,0,0,0,0
Armen_Gevorgyan,2,2610,0,0,0,0,0,0,0,0,0,0,0,0
Armeniaembassy,10,4269,0,0,0,0,0,0,0,0,0,0,0,0
ArmenianVendetta,44,251127,2,0,0,0,0,0,10940,0,0,0,0,0
Armenian_Diaspora,3,6720,0,0,0,0,0,0,0,0,0,0,0,0
Armenian_Life,20,37469,0,0,0,0,0,0,0,0,0,0,0,0
Armillary,147,162685,0,0,0,0,0,0,0,0,0,0,0,0
Armiya_TV_kanali,24,79646,0,0,0,0,0,0,0,0,0,0,0,0
ArmyHouseLove,5,2228,0,0,0,0,0,0,0,0,0,0,0,0
Army_Russia,20,8853,0,0,0,0,0,0,0,0,0,0,0,0
ArnoGujonSrbija,27,34542,0,0,0,0,0,0,0,0,0,0,0,0
ArseniyYatsenyuk,25,41439,1,0,0,0,0,0,1750,0,0,0,0,0
ArtMassesMedia,30,33974,0,0,0,0,0,0,0,0,0,0,0,0
Artelmatbuotxizmati,99,178523,0,0,0,0,0,0,0,0,0,0,0,0
ArtemDimitrov,2,1479,0,0,0,0,0,0,0,0,0,0,0,0
Artem_Nakhodka,40,239059,2,0,0,0,0,0,10930,0,0,0,0,0
Artem_true_tg,44,243530,1,0,0,0,0,0,4560,0,0,0,0,0
ArticulationBureau,13,7324,0,0,0,0,0,0,0,0,0,0,0,0
ArzamasLive,67,432830,0,0,0,0,0,0,0,0,0,0,0,0
Arzamas_true,45,345350,0,0,0,0,0,0,0,0,0,0,0,0
ArzonUylar_Toshkent,22,1307,0,0,0,0,0,0,0,0,0,0,0,0
AsanovEldar,36,173830,0,0,0,0,0,0,0,0,0,0,0,0
AsiaOnecom,24,25859,0,0,0,0,0,0,0,0,0,0,0,0
Aslanovsblog,3,1445,0,0,0,0,0,0,0,0,0,0,0,0
AsreFori,26356,135977745,0,0,0,0,0,0,0,0,0,0,0,0
AssadStash,35,152650,2,0,0,0,0,0,7260,0,0,0,0,0
Astrakhan_peace,52,477509,1,0,0,0,0,0,12000,0,0,0,0,0
Astrakhan_podslushal,55,1042400,0,0,0,0,0,0,0,0,0,0,0,0
Astrakhan_true,42,316600,1,0,0,0,0,0,6060,0,0,0,0,0
AstralionicaYuryLyr,1,2700,0,0,0,0,0,0,0,0,0,0,0,0
AtamanDyakonov,37,123630,0,0,0,0,1,0,0,0,0,0,2310,0
AteoGo,289,19356600,11,0,0,1,0,0,723600,0,0,76000,0,0
Ateobreaking,12069,2576237801,75,0,0,8,1,0,15787000,0,0,1767200,195000,0
Attractive_cliip,101,27668,0,0,0,0,0,0,0,0,0,0,0,0
AufklaerungFuerDeutschland,7,1918,0,0,0,0,0,0,0,0,0,0,0,0
AussieTruckiesUnited,26,1510,0,0,0,0,0,0,0,0,0,0,0,0
AustraliaAwakens,18,5461,0,0,0,0,0,0,0,0,0,0,0,0
AvakovArsen,1,11300,0,0,0,0,0,0,0,0,0,0,0,0
AvantTV,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Avayyeiran,158,541270,0,0,0,0,0,0,0,0,0,0,0,0
AviaCT,16,92663,0,0,0,0,0,0,0,0,0,0,0,0
AviaComments,12,24827,1,0,0,0,0,0,2290,0,0,0,0,0
Aviatsiya_Uz,11,12527,0,0,0,0,0,0,0,0,0,0,0,0
Avodonaeva,207,11655290,0,0,0,0,0,0,0,0,0,0,0,0
Avtorskayakomnata,9,37810,1,0,0,0,0,0,2620,0,0,0,0,0
AvvisiTerremotiIT,14,22280,0,0,0,0,0,0,0,0,0,0,0,0
Axaraz,10,6041,0,0,0,0,0,0,0,0,0,0,0,0
Axborot25Tv,17,75529,0,0,0,0,0,0,0,0,0,0,0,0
AxeSay,90,2338880,0,0,0,0,0,0,0,0,0,0,0,0
AzPostFactum21,9,2806,0,0,0,0,0,0,0,0,0,0,0,0
AzarBakhish_ir,196,253763,0,0,0,0,0,0,0,0,0,0,0,0
Azar_MATNA,4,1503,0,0,0,0,0,0,0,0,0,0,0,0
AzeSputnik,20,781800,0,0,0,0,0,0,0,0,0,0,0,0
AzerbaijanSSR,2,28100,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan_MOD,25,44867,0,0,0,0,0,0,0,0,0,0,0,0
Azizbek_Habibullayev,8,4624,0,0,0,0,0,0,0,0,0,0,0,0
Azizbek_SK,4,1043,0,0,0,0,0,0,0,0,0,0,0,0
Azizbek_Zubaydullayev,22,26601,0,0,0,0,0,0,0,0,0,0,0,0
AzovstalFamilies,22,92690,0,0,0,0,0,0,0,0,0,0,0,0
BA4UA,36,88894,0,0,0,0,0,0,0,0,0,0,0,0
BAGIROVANews,71,566895,6,0,0,0,0,0,41650,0,0,0,0,0
